Keuwl Accelerometer Data File
2019-04-14 17-23-08

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
1.2485656,-0.026492,0.890174,0.180425,0.908661,78.547119,91.704651
1.2535400,0.006788,0.882082,0.153717,0.895402,80.114845,89.559097
1.2585144,-0.020832,0.801506,0.183538,0.822516,77.106354,91.488838
1.2634888,-0.021711,0.817145,0.195185,0.840413,76.570496,91.521935
1.2684630,-0.008174,0.869457,0.199004,0.891978,77.108612,90.538620
1.2734374,-0.026270,0.849645,0.340646,0.915766,68.162270,91.770927
1.2784119,-0.039163,0.842168,0.460483,0.960638,61.356998,92.662460
1.2833862,-0.067010,0.870827,0.406081,0.963189,65.064293,94.400200
1.2883606,-0.054894,0.842579,0.278915,0.889239,71.720291,93.727570
1.2933348,-0.039870,0.808811,0.199851,0.834089,76.136826,92.822113
1.2983093,-0.026691,0.844811,0.179556,0.864094,78.006729,91.809616
1.3032837,-0.016218,0.878581,0.153726,0.892076,80.077011,91.057556
1.3082581,-0.028665,0.840226,0.148072,0.853655,80.011116,91.953941
1.3132323,-0.034459,0.775370,0.145991,0.789747,79.347130,92.544670
1.3182068,-0.038125,0.789164,0.137416,0.801946,80.133476,92.765862
1.3231812,-0.070178,0.828201,0.198445,0.854530,76.571770,94.843414
1.3281555,-0.040359,0.816152,0.374508,0.898882,65.377548,92.830978
1.3331298,-0.051592,0.870812,0.467804,0.989856,61.796936,93.390587
1.3381041,-0.062250,0.908113,0.345684,0.973674,69.204689,93.921417
1.3430786,-0.046268,0.874773,0.264209,0.914973,73.216187,93.027626
1.3480530,-0.023003,0.841700,0.233232,0.873720,74.517624,91.565475
1.3530273,-0.024792,0.874842,0.171835,0.891903,78.891884,91.623260
1.3580016,-0.050253,0.890040,0.123910,0.900028,82.086731,93.231567
1.3629761,-0.068710,0.801111,0.122478,0.813327,81.338959,94.902145
1.3679504,-0.013828,0.752254,0.145042,0.766234,79.088486,91.053085
1.3729248,0.000201,0.794260,0.184053,0.815306,76.953201,89.985527
1.3778991,-0.003343,0.823410,0.313875,0.881211,69.133835,90.232590
1.3828735,0.071786,0.761454,0.352074,0.841975,65.282013,84.614342
1.3878479,0.038536,0.794554,0.244760,0.832291,72.897644,87.223335
1.3928223,-0.075596,0.844410,0.148715,0.860732,80.050667,95.115753
